method,dataset,mask,budget,impresions,click,win_rate,ecpc,cer,wrc,cost_time
IIBidder,ipinyou,0.0,0.25,69484.0,151.0,0.4452304518047198,5932.377483443709,0.025453538723962898,4.970260315819013e-07,0.12994377613067626
AC_GAIL,ipinyou,0.0,0.25,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.08696954250335694
PPO_GAIL,ipinyou,0.0,0.25,70250.0,217.0,0.45013872602731,10818.603686635945,0.02005804134114431,1.9174119594609812e-07,0.13377678394317627
PPO,ipinyou,0.0,0.25,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.32666212717692056
DRLB,ipinyou,0.0,0.25,143824.0,472.0,0.9215765428064274,15435.612288135593,0.03057863796972909,1.264927259761576e-07,0.06271230777104696
Lin,ipinyou,0.0,0.25,98809.0,253.0,0.6331353363704036,8526.256916996048,0.029673044392513618,2.935064278865164e-07,0.003125
Gamma,ipinyou,0.0,0.25,39076.0,100.0,0.2503860620389152,24565.33,0.004070777799443362,1.0192660226380644e-07,0.006375018755594889
Uniform,ipinyou,0.0,0.25,58828.0,154.0,0.37695033416016044,15965.448051948051,0.009645830138867254,1.5331417161823908e-07,0.011536645889282226
Normal,ipinyou,0.0,0.25,43409.0,130.0,0.2781504905069871,18912.915384615386,0.006873609771751416,1.1313005500392165e-07,0.005336666107177734
IIBidder,ipinyou,0.0,0.5,69480.0,151.0,0.4452048211299282,5931.622516556291,0.025456778407346416,4.970606761715223e-07,0.1257374127705892
AC_GAIL,ipinyou,0.0,0.5,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.08867638905843099
PPO_GAIL,ipinyou,0.0,0.5,113404.0,346.0,0.7266552610163849,13341.58092485549,0.02593395804806001,1.5741460669084352e-07,0.10950493017832438
PPO,ipinyou,0.0,0.5,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.3315354108810425
DRLB,ipinyou,0.0,0.5,56179.0,113.0,0.3599764197791919,5031.256637168141,0.022459597700745078,6.331682645465725e-07,0.056555835405985515
Lin,ipinyou,0.0,0.5,98809.0,253.0,0.6331353363704036,8526.256916996048,0.029673044392513618,2.935064278865164e-07,0.002647888660430908
Gamma,ipinyou,0.0,0.5,85173.0,266.0,0.5457603660063722,18478.04887218045,0.014395459273867123,1.1103611173802287e-07,0.007208192348480224
Uniform,ipinyou,0.0,0.5,125789.0,368.0,0.8060142378386911,13362.39945652174,0.027539964001030634,1.639118848534654e-07,0.012633216381072999
Normal,ipinyou,0.0,0.5,78204.0,263.0,0.5011053228509795,16188.342205323193,0.016246258984661074,1.1769848998292898e-07,0.0053031682968139645
IIBidder,ipinyou,0.1,0.03125,23691.0,62.0,0.15180407912189314,4784.129032258064,0.01295951668150066,5.11786549349641e-07,0.13606526056925455
AC_GAIL,ipinyou,0.1,0.03125,20606.0,59.0,0.13203642118887893,1703.084745762712,0.03464302064051273,1.314030584471636e-06,0.08759921391805013
PPO_GAIL,ipinyou,0.1,0.03125,18580.0,48.0,0.11905448440693832,6179.375,0.0077677758673004955,4.01383919648489e-07,0.10882691542307536
PPO,ipinyou,0.1,0.03125,23527.0,62.0,0.15075322145543796,4784.0161290322585,0.01295982252730025,5.082557220294662e-07,0.32535384098688763
DRLB,ipinyou,0.1,0.03125,126636.0,377.0,0.8114415332269672,14604.965517241379,0.025813138658557316,1.4737212539664706e-07,0.0624728520711263
Lin,ipinyou,0.1,0.03125,19747.0,30.0,0.12653223377742348,10244.133333333333,0.002928505420988924,4.117225917189138e-07,0.002160930633544922
Gamma,ipinyou,0.1,0.03125,5484.0,12.0,0.03513965513927241,25474.416666666668,0.00047106083554415706,1.1495080076832774e-07,0.005651541550954183
Uniform,ipinyou,0.1,0.03125,7793.0,13.0,0.04993496216271337,23641.153846153848,0.0005498885580880798,1.624773037978537e-07,0.01051108439763387
Normal,ipinyou,0.1,0.03125,5606.0,7.0,0.035921390720415676,43904.71428571428,0.00015943618160106464,1.1688100763802025e-07,0.004787679513295492
IIBidder,ipinyou,0.1,0.0625,56530.0,115.0,0.3622255114921541,3577.2347826086957,0.03214773616735783,8.805088980367495e-07,0.12630786101023356
AC_GAIL,ipinyou,0.1,0.0625,20613.0,47.0,0.13208127486976434,2161.255319148936,0.021746620856673133,1.3002813068622878e-06,0.09090088605880738
PPO_GAIL,ipinyou,0.1,0.0625,30593.0,80.0,0.19602980847478266,7548.55,0.010598061879433799,3.246150063170785e-07,0.10981722275416056
PPO,ipinyou,0.1,0.0625,42141.0,98.0,0.2700255665981047,6095.948979591837,0.016076250035570627,4.5199901339314456e-07,0.3718237121899923
DRLB,ipinyou,0.1,0.0625,130586.0,391.0,0.836751824583663,15178.437340153452,0.02576022756740827,1.4099147322897708e-07,0.06393216053644817
Lin,ipinyou,0.1,0.0625,36041.0,80.0,0.23093878754082145,7683.1375,0.0104124128977257,3.7572343905862263e-07,0.0023443182309468586
Gamma,ipinyou,0.1,0.0625,10969.0,25.0,0.07028571794723826,24524.6,0.0010193846178938699,1.1463708757286685e-07,0.00598992109298706
